group,movie_imdb_link,Cast FB Likes,name,Actor 1 FB Likes,Number of Voted Users,Director FB Likes,Number of Critic for Reviews,Number of Users for Reviews,Budget,Domestic Gross,Imdb Score
Adventure Action,http://www.imdb.com/title/tt0253754/?ref_=fn_tt_tt_1,31224,"StarTrekNemesis, director: Stuart Baird",27000,58450,53,172,842,96238026.76,69378649.51,6.4
Thriller Drama,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,27666,"Child, director: Daniel Espinosa",27000,40568,79,172,185,53251200,1303940.834,6.4
Thriller Drama,http://www.imdb.com/title/tt3569230/?ref_=fn_tt_tt_1,27659,"Legend, director: Brian Helgeland",27000,87682,241,260,174,66375930.86,41158684.57,7
Drama,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,29692,"Warrior, director: Gavin O'Connor",27000,332276,149,317,514,30200782.28,16498222.27,8.2
Action,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,46944,"RocknRolla, director: Guy Ritchie",27000,194489,0,209,192,23899553.13,7569022.999,7.3
Thriller Drama,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,29277,"LayerCake, director: Matthew Vaughn",27000,134070,905,149,263,9485707.401,3414791.913,7.4
Drama,http://www.imdb.com/title/tt1172570/?ref_=fn_tt_tt_1,27507,"Bronson, director: Nicolas Winding Refn",27000,84817,0,225,145,295913.9331,135064.1251,7.1
Adventure Action,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,92000,"AvengersAgeofUltron, director: Joss Whedon",26000,462669,0,635,1117,266256000,488852265.6,7.5
Adventure Action,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,87697,"TheAvengers, director: Joss Whedon",26000,995415,0,703,1722,263378915.2,729594182,8.1
Action,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,79150,"Furious, director: James Wan",26000,278232,0,424,657,202354560,373858473.9,7.2
Adventure Action,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,72881,"SnowWhiteandtheHuntsman, director: Rupert Sanders",26000,228554,274,416,710,198997402.6,181598890,6.1
Adventure Action,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,59803,"ThorTheDarkWorld, director: Alan Taylor",26000,414070,230,486,532,170141418.1,234071647.6,7.1
Adventure Action,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,60059,"Thor, director: Kenneth Branagh",26000,536314,0,516,738,181204693.7,218690658.4,7
Adventure Action,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,39284,"StarTrek, director: J.J. Abrams",26000,504419,14000,518,1559,180121524.5,331590885.2,8
Adventure Action,http://www.imdb.com/title/tt2381991/?ref_=fn_tt_tt_1,46719,"TheHuntsmanWintersWar, director: Cedric Nicolas-Troyan",26000,37750,19,231,134,118680000,49539111.48,6.1
Adventure Action,http://www.imdb.com/title/tt1764651/?ref_=fn_tt_tt_1,57881,"TheExpendables, director: Simon West",26000,246803,165,383,474,117057295.6,99531702.09,6.7
Adventure Action,http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1,52610,"TheExpendables, director: Patrick Hughes",26000,127258,385,320,351,117057295.6,99531702.09,6.1
Adventure Action,http://www.imdb.com/title/tt1390411/?ref_=fn_tt_tt_1,28328,"IntheHeartoftheSea, director: Ron Howard",26000,71782,2000,289,161,106502400,26647707.77,7
Adventure Action,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1,46355,"TheExpendables, director: Sylvester Stallone",26000,270226,13000,424,741,117057295.6,99531702.09,6.5
Action,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,49608,"KillerElite, director: Gary McKendry",26000,105556,5,189,157,84562190.37,30351769.27,6.5
Thriller Drama,http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1,28129,"Blackhat, director: Michael Mann",26000,38983,0,261,207,74551680,8402395.02,5.4
Action,http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1,28643,"DeathRace, director: Paul W.S. Anderson",26000,166610,545,230,211,86303941.87,48218718.69,6.4
Action,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,35084,"TheItalianJob, director: F. Gary Gray",26000,285623,473,155,497,93253901.9,164944411.9,7
Adventure Action,http://www.imdb.com/title/tt0460780/?ref_=fn_tt_tt_1,26564,"IntheNameoftheKingADungeonSiegeTale, director: Uwe Boll",26000,38398,892,140,368,79665177.11,6340891.351,3.8
Action,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,32831,"TheOne, director: James Wong",26000,77684,70,98,294,81109408.95,72676920.56,5.9
Action,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,27834,"TheMechanic, director: Simon West",26000,117999,165,252,181,51341329.87,35179680.83,6.6
Drama,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,37206,"Rush, director: Ron Howard",26000,312629,2000,393,475,43102492.58,30566046.41,8.1
Thriller Drama,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,28479,"Parker, director: Taylor Hackford",26000,90046,138,224,141,39699664.22,19982135.21,6.2
Action,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,27759,"Safe, director: Boaz Yakin",26000,83097,132,258,134,38628907.56,20066055.27,6.5
Comedy,http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1,40312,"Vacation, director: John Francis Daley",26000,66123,0,204,219,33015744,62713073.44,6.1
Horror,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,29551,"TheCabinintheWoods, director: Drew Goddard",26000,277172,246,634,986,35117188.69,49249840.24,7
Thriller Drama,http://www.imdb.com/title/tt2231253/?ref_=fn_tt_tt_1,29773,"WildCard, director: Simon West",26000,36487,165,130,114,31950720,3408.0768,5.6
Action,http://www.imdb.com/title/tt0499556/?ref_=fn_tt_tt_1,33565,"War, director: Philip G. Atwell",26000,72673,5,119,166,34256026.16,30811800.6,6.3
Thriller Drama,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,39989,"Homefront, director: Gary Fleder",26000,82804,39,203,154,24954074.65,22865296.1,6.5
Action,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,27572,"TheTransporter, director: Louis Leterrier",26000,237248,255,171,460,46698867.2,62891489.26,6.8
Thriller Drama,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,27755,"TheBankJob, director: Roger Donaldson",26000,152247,79,222,189,26555059.04,39913130.05,7.3
Action,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,30541,"CrankHighVoltage, director: Mark Neveldine",26000,112516,83,150,223,25731646.35,17605912.79,6.2
Thriller Drama,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,41359,"APerfectGetaway, director: David Twohy",26000,56338,123,160,215,18012152.45,19961916.49,6.5
Action,http://www.imdb.com/title/tt0479884/?ref_=fn_tt_tt_1,28767,"Crank, director: Mark Neveldine",26000,196422,83,170,444,16969065.12,39365979.84,7
Comedy Drama,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,39175,"Snatch, director: Guy Ritchie",26000,600996,0,151,726,17082634.7,51406955.39,8.3
Comedy,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,27756,"Cah, director: Stephen Milburn Anderson",26000,7663,0,27,38,8726818.046,57956.04533,6
Comedy Drama,http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1,29325,"MeanMachine, director: Barry Skolnick",26000,29463,0,54,84,7217852.007,148724.6426,6.5
Drama,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,39518,"London, director: Hunter Richards",26000,19336,11,34,90,2828177.52,17912.26232,6.6
Comedy Drama,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,28294,"LockStockandTwoSmokingBarrels, director: Guy Ritchie",26000,414976,0,116,523,2379952.667,6871133.137,8.2
Adventure Fantasy,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,58753,"HarryPotterandtheHalfBloodPrince, director: David Yates",25000,321795,282,375,973,321645579.4,388495363.5,7.5
Drama,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,46726,"WarHorse, director: Steven Spielberg",25000,116159,14000,388,488,84562190.37,96501597.31,7.2
Drama,http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1,38518,"RobinHoodPrinceofThieves, director: Kevin Reynolds",25000,145257,58,67,322,113407593.3,375365316.1,6.9
Comedy,http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1,26998,"GalaxyQuest, director: Dean Parisot",25000,123558,23,213,609,79331755.55,125914879.4,7.3
Action,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,40585,"DieHard, director: John McTiernan",25000,592582,323,233,722,163851290.7,274623840.6,8.2
Thriller Drama,http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1,48482,"MichaelCollins, director: Neil Jordan",25000,24145,277,44,93,48441061.55,21493413.33,7.1
Drama,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,45841,"QuigleyDownUnder, director: Simon Wincer",25000,15230,23,20,97,46814654.5,50122355.61,6.8
Drama,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,39463,"TheRailwayMan, director: Jonathan Teplitzky",25000,27882,6,186,119,19783885.82,4878308.368,7.1
Drama,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,41059,"SenseandSensibility, director: Ang Lee",25000,78392,0,69,196,32994175.84,85972372.09,7.7
Comedy Drama,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,25676,"BottleShock, director: Randall Miller",25000,12233,19,109,89,6638764.759,5415382.484,6.8
Drama,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,26176,"Stonewall, director: Roland Emmerich",25000,1758,776,74,30,3875284.924,590209.7692,4.5
Adventure Action,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,46055,"SpiderMan, director: Sam Raimi",24000,383056,0,392,1902,353522190,461127634.5,6.2
Adventure Action,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,43388,"SpiderMan, director: Sam Raimi",24000,411164,0,300,1303,353522190,461127634.5,7.3
Adventure Action,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,38873,"TerminatorGenisys, director: Alan Taylor",24000,188457,230,474,867,165078720,95597572.4,6.6
Mixed,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,36095,"KungFuPanda, director: Alessandro Carloni",24000,64322,5,210,145,181204693.7,199626038.9,7.2
Adventure Action,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1,40484,"SpiderMan, director: Sam Raimi",24000,544665,0,291,2012,353522190,461127634.5,7.3
Mixed,http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1,46120,"Megamind, director: Tom McGrath",24000,172754,96,233,187,162069478,185028306.3,7.3
Adventure Action,http://www.imdb.com/title/tt0317648/?ref_=fn_tt_tt_1,36925,"Hidalgo, director: Joe Johnston",24000,67856,394,140,345,117471000.5,101336405.2,6.7
Adventure Action,http://www.imdb.com/title/tt0119395/?ref_=fn_tt_tt_1,38227,"TheJackal, director: Michael Caton-Jones",24000,88225,105,83,227,112653631.5,103184983,6.3
Drama,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,25469,"ForLoveoftheGame, director: Sam Raimi",24000,26034,0,113,226,88146395.06,62035035.26,6.5
Comedy Drama,http://www.imdb.com/title/tt1155056/?ref_=fn_tt_tt_1,28928,"ILoveYouMan, director: John Hamburg",24000,166194,29,215,215,51463292.71,91913454.93,7.1
Comedy,http://www.imdb.com/title/tt0236493/?ref_=fn_tt_tt_1,43917,"TheMexican, director: Gore Verbinski",24000,87351,563,125,344,66211762.41,110587903.6,6.1
Drama,http://www.imdb.com/title/tt0174480/?ref_=fn_tt_tt_1,26938,"AutumninNewYork, director: Joan Chen",24000,20201,643,101,180,68330538.81,64491952.92,5.5
Thriller Drama,http://www.imdb.com/title/tt0116259/?ref_=fn_tt_tt_1,24547,"ExtremeMeasures, director: Michael Apted",24000,14066,150,47,75,73630413.55,33672724.67,6.1
Comedy Drama,http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1,36093,"BurnAfterReading, director: Ethan Coen",24000,248468,1000,341,545,49126859.22,80136990.14,7
Comedy,http://www.imdb.com/title/tt0335245/?ref_=fn_tt_tt_1,41701,"TheLadykillers, director: Ethan Coen",24000,84131,1000,193,400,52711346.36,59777888.18,6.2
Drama,http://www.imdb.com/title/tt1193138/?ref_=fn_tt_tt_1,35209,"UpintheAir, director: Jason Reitman",24000,270238,655,391,452,38597469.53,107845679.8,7.4
Thriller Drama,http://www.imdb.com/title/tt0804522/?ref_=fn_tt_tt_1,50950,"Rendition, director: Gavin Hood",24000,47203,151,131,197,37681628.77,13340728.49,6.8
Thriller Drama,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,26625,"Contraband, director: Baltasar Kormíëíkur",24000,101977,175,270,161,29264323.91,77875877.65,6.5
Drama,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,39307,"LaborDay, director: Jason Reitman",24000,31898,655,217,111,19783885.82,14696710.18,6.9
Horror,http://www.imdb.com/title/tt1131734/?ref_=fn_tt_tt_1,24805,"JennifersBody, director: Karyn Kusama",24000,92712,45,300,294,20585317.08,20848800.14,5.1
Comedy Drama,http://www.imdb.com/title/tt1142433/?ref_=fn_tt_tt_1,25637,"PostGrad, director: Vicky Jenson",24000,11498,96,97,53,19298734.77,8208419.632,5.3
Drama,http://www.imdb.com/title/tt0469263/?ref_=fn_tt_tt_1,27806,"TheAstronautFarmer, director: Michael Polish",24000,19707,35,113,128,17813133.6,15077643.3,6.3
Comedy Drama,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,25792,"NewinTown, director: Jonas Elmer",24000,17461,3,121,78,10292658.54,21530032.61,5.6
Comedy Drama,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,41867,"Extract, director: Mike Judge",24000,37530,406,192,106,9649367.383,13924883.7,6.2
Comedy Drama,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,28817,"Juno, director: Jason Reitman",24000,414335,655,387,881,9591687.324,196623102.1,7.5
Thriller Drama,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,51355,"TheWords, director: Brian Klugman",24000,59637,49,216,130,7023437.739,13455546.5,7.1
Drama,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,26495,"Whiplash, director: Damien Chazelle",24000,399138,141,535,731,3627045.734,14389486.22,8.5
Thriller Drama,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,50313,"HarshTimes, director: David Ayer",24000,54657,453,118,222,2828177.52,4720130.708,7
Adventure Action,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,27468,"TerminatorSalvation, director: McG",23000,286095,368,422,974,257316463.5,161237672.6,6.6
Thriller Drama,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,57802,"TheDarkKnight, director: Christopher Nolan",23000,1676169,22000,645,4667,245634296.1,708150873.5,9
Adventure Action,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,26683,"GIJoeTheRiseofCobra, director: Stephen Sommers",23000,174578,208,250,534,225151905.6,193246591.4,5.8
Action,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,45327,"TheFastandtheFurious, director: Rob Cohen",23000,272223,357,187,988,62901174.29,239210368.4,6.7
Adventure Action,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,59558,"BatmanBegins, director: Christopher Nolan",23000,980946,22000,478,2685,218900940,299666301,8.3
Adventure Action,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,26490,"ExodusGodsandKings, director: Ridley Scott",23000,128682,0,314,657,153874667.5,71457761.23,6.1
Action,http://www.imdb.com/title/tt1596343/?ref_=fn_tt_tt_1,55345,"FastFive, director: Justin Lin",23000,284792,681,342,366,151003911.4,253490477.4,7.3
Mixed,http://www.imdb.com/title/tt0133240/?ref_=fn_tt_tt_1,26940,"TreasurePlanet, director: Ron Clements",23000,71527,63,127,217,160396711.3,61144114.93,7.1
Adventure Action,http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1,43887,"Timeline, director: Richard Donner",23000,53057,503,123,457,124338535.9,30277582.06,5.6
Action,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,25296,"FastFurious, director: John Singleton",23000,191912,309,150,370,109359497,199502941.5,5.9
Drama,http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1,25517,"Lincoln, director: Steven Spielberg",23000,197412,14000,538,720,76087242.17,213287725.6,7.4
Action,http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1,49433,"SinCityADametoKillFor, director: Frank Miller",23000,111102,436,339,239,71441809.92,15121267.97,6.5
Adventure Action,http://www.imdb.com/title/tt0253556/?ref_=fn_tt_tt_1,53024,"ReignofFire, director: Rob Bowman",23000,107859,38,138,569,96238026.76,69070002.93,6.2
Drama,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,23325,"CaptainCorellisMandolin, director: John Madden",23000,28099,108,96,220,94351761.43,42257166.14,5.9
Animation,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,26754,"Pocahontas, director: Mike Gabriel",23000,119675,12,92,216,109980586.1,283109571.3,6.6
Action,http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1,26527,"Shaft, director: John Singleton",23000,58416,309,160,301,90560065.43,120138527.8,5.9
Drama,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,24468,"FlagsofOurFathers, director: Clint Eastwood",23000,101221,16000,279,415,74946704.27,47516742.2,7.1
Adventure Action,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,25049,"IntotheBlue, director: John Stockwell",23000,63599,134,120,208,72966980.01,27409647.64,5.8
Drama,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,33548,"toYuma, director: James Mangold",23000,237872,446,295,560,65771570.22,73454396.67,7.8
Thriller Drama,http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,26982,"MiracleatStAnna, director: Spike Lee",23000,15697,0,158,182,59748882.83,10511670.08,6
Thriller Drama,http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1,26907,"TheJuror, director: Brian Gibson",23000,13995,13,28,62,85256268.32,44044403.54,5.6
Drama,http://www.imdb.com/title/tt0397313/?ref_=fn_tt_tt_1,24300,"EightBelow, director: Frank Marshall",23000,48806,155,118,263,56563550.39,115407410.8,7.3
Thriller Drama,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,63986,"ThePrestige, director: Christopher Nolan",23000,844052,22000,341,1100,56563550.39,75073818.12,8.5
Action,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1,24669,"PremiumRush, director: David Koepp",23000,95274,192,248,178,40970053.48,23733888.77,6.5
Thriller Drama,http://www.imdb.com/title/tt3488710/?ref_=fn_tt_tt_1,23031,"TheWalk, director: Robert Zemeckis",23000,77394,0,335,195,37275840,10796682.93,7.4
Action,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,31529,"Takers, director: John Luessenhop",23000,46961,34,119,132,39894025.36,71989666.37,6.2
Thriller Drama,http://www.imdb.com/title/tt1276104/?ref_=fn_tt_tt_1,37387,"Looper, director: Rian Johnson",23000,428916,0,589,667,35117188.69,77826953.55,7.4
Drama,http://www.imdb.com/title/tt0402399/?ref_=fn_tt_tt_1,27829,"TheNewWorld, director: Terrence Malick",23000,70771,0,222,671,43780188,18551260.72,6.7
Thriller Drama,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,25387,"BrickMansions, director: Camille Delamarre",23000,32103,11,177,112,30774933.5,22418252.01,5.7
Drama,http://www.imdb.com/title/tt0489281/?ref_=fn_tt_tt_1,43560,"StopLoss, director: Kimberly Peirce",23000,17757,108,143,99,33193823.8,14493411.32,6.5
Comedy Family,http://www.imdb.com/title/tt0120645/?ref_=fn_tt_tt_1,24436,"MeettheDeedles, director: Steve Boyum",23000,2265,9,18,37,43664198.26,7925281.221,3.9
Thriller Drama,http://www.imdb.com/title/tt0206314/?ref_=fn_tt_tt_1,23242,"JoyRide, director: John Dahl",23000,53415,131,140,339,38071763.39,36372077.65,6.6
Thriller Drama,http://www.imdb.com/title/tt1206543/?ref_=fn_tt_tt_1,24134,"OutoftheFurnace, director: Scott Cooper",23000,83171,108,288,231,24954074.65,12852311.45,6.8
Drama,http://www.imdb.com/title/tt0368794/?ref_=fn_tt_tt_1,36398,"ImNotThere, director: Todd Haynes",23000,48346,162,231,230,27404820.93,5505092.76,7
Thriller Drama,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,25088,"Equilibrium, director: Kurt Wimmer",23000,261317,110,146,1137,32079342.25,1908749.735,7.5
Thriller Drama,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,27381,"RunningScared, director: Wayne Kramer",23000,88590,47,157,419,24039508.92,9693772.179,7.4
Comedy Drama,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,23369,"VarsityBlues, director: Brian Robbins",23000,35312,48,67,267,28206846.42,93248606.34,6.4
Drama,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1,29370,"LittleWomen, director: Gillian Armstrong",23000,36624,44,27,132,30954535.88,103188602.5,7.3
Thriller Drama,http://www.imdb.com/title/tt0192614/?ref_=fn_tt_tt_1,26652,"TheSkulls, director: Rob Cohen",23000,26846,357,102,193,25623952.05,59801486.79,5.6
Drama,http://www.imdb.com/title/tt0964517/?ref_=fn_tt_tt_1,23811,"TheFighter, director: David O. Russell",23000,275869,737,410,389,13713571.22,116711229.1,7.9
Comedy Drama,http://www.imdb.com/title/tt0160862/?ref_=fn_tt_tt_1,28734,"ShesAllThat, director: Robert Iscove",23000,67115,7,96,389,17629279.01,111885139.5,5.8
Drama,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,24270,"RescueDawn, director: Werner Herzog",23000,84641,0,198,205,13702410.46,7523202.956,7.3
Drama,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,24102,"VelvetGoldmine, director: Todd Haynes",23000,27766,162,103,314,16374074.35,1917200.34,7
